sample_name	library_ID	BioProject accession	title	tissue	geographic location	sex	isolate	Lat	Lon	Anem_ID	Collection_Date	Size	Size_type	Tail_color	dev_stage	Collector	Notes	library_strategy	LibraryName	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
APCL13_089_L0424	L0424	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744014	124.786298	51	2013-05-24	7.9	FL	O	adult	MLP		RAD-Seq	L0424	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0424.F.fq.gz	APCL_L0424.R1.fq.gz
APCL13_130_L0432	L0432	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.798464	124.76871	71	2013-05-25	6.8	FL	O	adult	MLP		RAD-Seq	L0432	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0432.F.fq.gz	APCL_L0432.R1.fq.gz
APCL13_192_L0442	L0442	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873778	124.711248	106	2013-05-27	9.2	FL	YP	adult	MLP		RAD-Seq	L0442	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0442.F.fq.gz	APCL_L0442.R1.fq.gz
APCL13_205_L0443	L0443	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873304	124.712004	113	2013-05-27	10.3	FL	YP	adult	MLP		RAD-Seq	L0443	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0443.F.fq.gz	APCL_L0443.R1.fq.gz
APCL13_207_L0444	L0444	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873354	124.712082	114	2013-05-27	8.7	FL	YP	adult	MLP		RAD-Seq	L0444	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0444.F.fq.gz	APCL_L0444.R1.fq.gz
APCL13_001_L0447	L0447	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744935	124.785972	NA	2013-05-22	9.8	FL	YE	adult	MLP		RAD-Seq	L0447	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0447.F.fq.gz	APCL_L0447.R1.fq.gz
APCL13_002_L0448	L0448	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744929	124.785858	2	2013-05-22	4.8	FL	Y	NA	MLP		RAD-Seq	L0448	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0448.F.fq.gz	APCL_L0448.R1.fq.gz
APCL13_003_L0449	L0449	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744929	124.785858	2	2013-05-22	9.6	FL	Y	adult	MLP		RAD-Seq	L0449	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0449.F.fq.gz	APCL_L0449.R1.fq.gz
APCL13_426_L0450	L0450	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.86983	124.715916	250	2013-05-30	5.9	FL	W	NA	MLP		RAD-Seq	L0450	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0450.F.fq.gz	APCL_L0450.R1.fq.gz
APCL13_005_L0455	L0455	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744983	124.785767	4	2013-05-22	7.8	FL	Y	adult	MLP		RAD-Seq	L0455	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0455.F.fq.gz	APCL_L0455.R1.fq.gz
APCL13_007_L0457	L0457	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744034	124.786401	5	2013-05-22	7	FL		NA	MLP	2016-01-04: calling an adult based on size, no tail shape provided, MRS	RAD-Seq	L0457	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0457.F.fq.gz	APCL_L0457.R1.fq.gz
APCL13_008_L0458	L0458	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744034	124.786401	5	2013-05-22	4	FL		NA	MLP	2016-01-04: calling a larva based on size, no tail shape provided, MRS	RAD-Seq	L0458	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0458.F.fq.gz	APCL_L0458.R1.fq.gz
APCL13_010_L0460	L0460	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744081	124.786424	6	2013-05-22	5	FL	Y	NA	MLP		RAD-Seq	L0460	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0460.F.fq.gz	APCL_L0460.R1.fq.gz
APCL13_012_L0461	L0461	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744039	124.786303	7	2013-05-22	10.9	FL	O	adult	MLP		RAD-Seq	L0461	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0461.F.fq.gz	APCL_L0461.R1.fq.gz
APCL13_011_L0462	L0462	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.744039	124.786303	7	2013-05-22	11.7	FL	O	adult	MLP		RAD-Seq	L0462	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0462.F.fq.gz	APCL_L0462.R1.fq.gz
APCL13_013_L0463	L0463	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743813	124.786508	8	2013-05-22	10.2	FL	O	adult	MLP		RAD-Seq	L0463	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0463.F.fq.gz	APCL_L0463.R1.fq.gz
APCL13_014_L0464	L0464	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743813	124.786508	8	2013-05-22	11.2	FL	Y	adult	MLP		RAD-Seq	L0464	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0464.F.fq.gz	APCL_L0464.R1.fq.gz
APCL13_461_L0466	L0466	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873783	124.710859	NA	2013-05-31	10.4	FL	YP	adult	MLP	fish were not close to any visible anem	RAD-Seq	L0466	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0466.F.fq.gz	APCL_L0466.R1.fq.gz
APCL13_466_L0467	L0467	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873784	124.711102	266	2013-05-31	5.8	FL	YP	adult	MLP		RAD-Seq	L0467	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0467.F.fq.gz	APCL_L0467.R1.fq.gz
APCL13_472_L0468	L0468	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.872879	124.711836	270	2013-05-31	8.9	FL	O	adult	MLP		RAD-Seq	L0468	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0468.F.fq.gz	APCL_L0468.R1.fq.gz
APCL13_483_L0470	L0470	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873622	124.711139	275	2013-05-31	4.3	FL	YR	NA	MLP		RAD-Seq	L0470	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0470.F.fq.gz	APCL_L0470.R1.fq.gz
APCL13_486_L0471	L0471	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873114	124.711957	276	2013-05-31	10.4	FL	O	adult	MLP		RAD-Seq	L0471	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0471.F.fq.gz	APCL_L0471.R1.fq.gz
APCL13_487_L0472	L0472	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873114	124.711957	276	2013-05-31	6.7	FL	YP	adult	MLP		RAD-Seq	L0472	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0472.F.fq.gz	APCL_L0472.R1.fq.gz
APCL13_491_L0473	L0473	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873109	124.712177	278	2013-05-31	7.7	FL	YP	adult	MLP		RAD-Seq	L0473	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0473.F.fq.gz	APCL_L0473.R1.fq.gz
APCL13_493_L0474	L0474	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873112	124.712193	279	2013-05-31	7.4	FL	O	adult	MLP		RAD-Seq	L0474	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0474.F.fq.gz	APCL_L0474.R1.fq.gz
APCL13_498_L0478	L0478	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.873184	124.712199	281	2013-05-31	7.6	FL	YP	adult	MLP		RAD-Seq	L0478	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0478.F.fq.gz	APCL_L0478.R1.fq.gz
APCL13_023_L0483	L0483	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.743301	124.786839	12	2013-05-22	11	FL	Y	adult	MLP		RAD-Seq	L0483	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0483.F.fq.gz	APCL_L0483.R1.fq.gz
APCL13_027_L0485	L0485	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764475	124.785415	14	2013-05-23	9.4	FL	O	adult	MLP		RAD-Seq	L0485	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0485.F.fq.gz	APCL_L0485.R1.fq.gz
APCL13_028_L0486	L0486	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.764459	124.785415	16	2013-05-23	9	FL	Y	adult	MLP		RAD-Seq	L0486	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0486.F.fq.gz	APCL_L0486.R1.fq.gz
APCL13_523_L0487	L0487	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.831177	124.750661	291	2013-06-02	9.2	FL	YP	adult	MLP		RAD-Seq	L0487	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0487.F.fq.gz	APCL_L0487.R1.fq.gz
APCL13_529_L0488	L0488	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.836194	124.746708	293	2013-06-02	7.1	FL	O	adult	MLP	sizes measured with grid paper and converted later to cm	RAD-Seq	L0488	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0488.F.fq.gz	APCL_L0488.R1.fq.gz
APCL14_308_L0597	L0597	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.635041	124.776216	569	2014-06-22	6.3	FL	Y	NA	MRS		RAD-Seq	L0597	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0597.F.fq.gz	APCL_L0597.R1.fq.gz
APCL14_318_L0602	L0602	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.635236	124.776108	576	2014-06-22	8	FL	O	adult	MRS		RAD-Seq	L0602	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0602.F.fq.gz	APCL_L0602.R1.fq.gz
APCL14_330_L0606	L0606	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871491	124.714068	633	2014-06-24	8.8	FL	YP	adult	MRS		RAD-Seq	L0606	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0606.F.fq.gz	APCL_L0606.R1.fq.gz
APCL14_545_L0622	L0622	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87441	124.710673	726	2014-07-02	8.4	FL	O	adult	MRS		RAD-Seq	L0622	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0622.F.fq.gz	APCL_L0622.R1.fq.gz
APCL14_551_L0623	L0623	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.87434	124.710842	729	2014-07-02	8.1	FL	O	adult	MRS		RAD-Seq	L0623	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0623.F.fq.gz	APCL_L0623.R1.fq.gz
APCL14_273_L0630	L0630	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.6345	124.776734	546	2014-06-22	7.5	FL	Y	adult	MRS		RAD-Seq	L0630	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0630.F.fq.gz	APCL_L0630.R1.fq.gz
APCL14_294_L0632	L0632	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.634653	124.776364	560	2014-06-22	4.3	FL	YR	NA	MRS		RAD-Seq	L0632	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0632.F.fq.gz	APCL_L0632.R1.fq.gz
APCL14_326_L0634	L0634	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871511	124.714248	631	2014-06-24	7.9	FL	O	adult	MRS		RAD-Seq	L0634	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0634.F.fq.gz	APCL_L0634.R1.fq.gz
APCL14_340_L0636	L0636	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871502	124.71393	642	2014-06-24	3.7	FL	YR	NA	MRS		RAD-Seq	L0636	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0636.F.fq.gz	APCL_L0636.R1.fq.gz
APCL14_469_L0637	L0637	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855977	124.726304	690	2014-06-26	8.5	FL	YP	adult	MRS		RAD-Seq	L0637	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0637.F.fq.gz	APCL_L0637.R1.fq.gz
APCL14_471_L0638	L0638	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856004	124.726365	200	2014-06-26	6.4	FL	O	adult	MRS		RAD-Seq	L0638	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0638.F.fq.gz	APCL_L0638.R1.fq.gz
APCL13_281_L0639	L0639	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871792	124.713867	160	2013-05-28	3	FL	bW	NA	MLP		RAD-Seq	L0639	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0639.F.fq.gz	APCL_L0639.R1.fq.gz
APCL13_299_L0640	L0640	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.871349	124.714195	171	2013-05-28	2.9	FL	YR	NA	MLP		RAD-Seq	L0640	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0640.F.fq.gz	APCL_L0640.R1.fq.gz
APCL13_327_L0642	L0642	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.855057	124.727391	192	2013-05-29	3.9	FL	YR	NA	MLP		RAD-Seq	L0642	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0642.F.fq.gz	APCL_L0642.R1.fq.gz
APCL13_361_L0644	L0644	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.859921	124.722831	211	2013-05-29	3.4	FL	bW	NA	MLP		RAD-Seq	L0644	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0644.F.fq.gz	APCL_L0644.R1.fq.gz
APCL13_363_L0645	L0645	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.856231	124.725936	213	2013-05-29	6.9	FL	YP	adult	MLP		RAD-Seq	L0645	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0645.F.fq.gz	APCL_L0645.R1.fq.gz
APCL13_394_L0647	L0647	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869125	124.716392	227	2013-05-30	7.6	FL	O	adult	MLP		RAD-Seq	L0647	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0647.F.fq.gz	APCL_L0647.R1.fq.gz
APCL13_395_L0648	L0648	    PRJNA563695	Amphiprion clarkii	Fin clip	not applicable	NA	not applicable	10.869125	124.716392	228	2013-05-30	6.4	FL	YP	adult	MLP		RAD-Seq	L0648	GENOMIC	Reduced Representation	SINGLE	ILLUMINA	Illumina HiSeq 2500	ddRADseq	fastq	APCL_L0648.F.fq.gz	APCL_L0648.R1.fq.gz
