Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,ligation_id,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,TISSUE,intentional_duplicate (run),dangling_references (run)
SRR10117915,RAD-Seq,assembly,173,40987262,PRJNA563695,SAMN12746876,Model organism or animal,13977692,RUTGERS,2017-05-25,public,"bam,sra,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847758,Illumina HiSeq 2500,not applicable,L4448,SINGLE,Reduced Representation,GENOMIC,L4448,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_224_L4448,female,SRP220170,tail fin,,
SRR10117916,RAD-Seq,assembly,173,12544480,PRJNA563695,SAMN12746949,Model organism or animal,8716306,RUTGERS,2017-06-05,public,"run.zq,sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",juvenile,SRX6847757,Illumina HiSeq 2500,not applicable,L4931,SINGLE,Reduced Representation,GENOMIC,L4931,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:49:00Z,1,APCL17_459_L4931,not applicable,SRP220170,tail fin,,
SRR10117917,RAD-Seq,assembly,173,8233177,PRJNA563695,SAMN12746948,Model organism or animal,7132616,RUTGERS,2017-06-05,public,"run.zq,bam,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",adult,SRX6847756,Illumina HiSeq 2500,not applicable,L4930,SINGLE,Reduced Representation,GENOMIC,L4930,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_457_L4930,male,SRP220170,tail fin,,
SRR10117918,RAD-Seq,assembly,173,7898541,PRJNA563695,SAMN12746947,Model organism or animal,7081212,RUTGERS,2017-06-05,public,"run.zq,sra,bam","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",adult,SRX6847755,Illumina HiSeq 2500,not applicable,L4929,SINGLE,Reduced Representation,GENOMIC,L4929,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_456_L4929,female,SRP220170,tail fin,,
SRR10117919,RAD-Seq,assembly,173,6879856,PRJNA563695,SAMN12746946,Model organism or animal,6664640,RUTGERS,2017-06-05,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847754,Illumina HiSeq 2500,not applicable,L4928,SINGLE,Reduced Representation,GENOMIC,L4928,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_455_L4928,male,SRP220170,tail fin,,
SRR10117920,RAD-Seq,assembly,173,22028525,PRJNA563695,SAMN12746945,Model organism or animal,11874895,RUTGERS,2017-06-05,public,"run.zq,sra,bam","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",juvenile,SRX6847753,Illumina HiSeq 2500,not applicable,L4927,SINGLE,Reduced Representation,GENOMIC,L4927,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_454_L4927,not applicable,SRP220170,tail fin,,
SRR10117921,RAD-Seq,assembly,173,20934102,PRJNA563695,SAMN12746944,Model organism or animal,11545121,RUTGERS,2017-06-05,public,"sra,run.zq,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847752,Illumina HiSeq 2500,not applicable,L4926,SINGLE,Reduced Representation,GENOMIC,L4926,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_449_L4926,male,SRP220170,tail fin,,
SRR10117922,RAD-Seq,assembly,173,12062361,PRJNA563695,SAMN12746943,Model organism or animal,8530866,RUTGERS,2017-06-05,public,"sra,bam,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",juvenile,SRX6847751,Illumina HiSeq 2500,not applicable,L4925,SINGLE,Reduced Representation,GENOMIC,L4925,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_448_L4925,not applicable,SRP220170,tail fin,,
SRR10117923,RAD-Seq,assembly,173,13481001,PRJNA563695,SAMN12746942,Model organism or animal,8858396,RUTGERS,2017-06-05,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",juvenile,SRX6847750,Illumina HiSeq 2500,not applicable,L4924,SINGLE,Reduced Representation,GENOMIC,L4924,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_447_L4924,not applicable,SRP220170,tail fin,,
SRR10117924,RAD-Seq,assembly,173,15224093,PRJNA563695,SAMN12746941,Model organism or animal,9619665,RUTGERS,2017-06-05,public,"run.zq,bam,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,SRX6847749,Illumina HiSeq 2500,not applicable,L4923,SINGLE,Reduced Representation,GENOMIC,L4923,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_446_L4923,female,SRP220170,tail fin,,
SRR10117925,RAD-Seq,assembly,173,9440638,PRJNA563695,SAMN12746940,Model organism or animal,7667991,RUTGERS,2017-06-05,public,"run.zq,bam,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847748,Illumina HiSeq 2500,not applicable,L4922,SINGLE,Reduced Representation,GENOMIC,L4922,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_445_L4922,male,SRP220170,tail fin,,
SRR10117926,RAD-Seq,assembly,173,18370752,PRJNA563695,SAMN12746875,Model organism or animal,8638043,RUTGERS,2017-05-25,public,"run.zq,bam,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",juvenile,SRX6847747,Illumina HiSeq 2500,not applicable,L4447,SINGLE,Reduced Representation,GENOMIC,L4447,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_223_L4447,not applicable,SRP220170,tail fin,,
SRR10117927,RAD-Seq,assembly,173,17699492,PRJNA563695,SAMN12746939,Model organism or animal,10426239,RUTGERS,2017-06-04,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847746,Illumina HiSeq 2500,not applicable,L4921,SINGLE,Reduced Representation,GENOMIC,L4921,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_444_L4921,male,SRP220170,tail fin,,
SRR10117928,RAD-Seq,assembly,173,10940623,PRJNA563695,SAMN12746938,Model organism or animal,8161365,RUTGERS,2017-06-04,public,"run.zq,bam,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",juvenile,SRX6847745,Illumina HiSeq 2500,not applicable,L4920,SINGLE,Reduced Representation,GENOMIC,L4920,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_443_L4920,not applicable,SRP220170,tail fin,,
SRR10117929,RAD-Seq,assembly,173,26589936,PRJNA563695,SAMN12746937,Model organism or animal,13255431,RUTGERS,2017-06-04,public,"bam,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",juvenile,SRX6847744,Illumina HiSeq 2500,not applicable,L4919,SINGLE,Reduced Representation,GENOMIC,L4919,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_441_L4919,not applicable,SRP220170,tail fin,,
SRR10117930,RAD-Seq,assembly,173,25267432,PRJNA563695,SAMN12746936,Model organism or animal,12961768,RUTGERS,2017-06-04,public,"sra,bam,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",adult,SRX6847743,Illumina HiSeq 2500,not applicable,L4918,SINGLE,Reduced Representation,GENOMIC,L4918,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_440_L4918,male,SRP220170,tail fin,,
SRR10117931,RAD-Seq,assembly,173,28336868,PRJNA563695,SAMN12746935,Model organism or animal,13982942,RUTGERS,2017-06-04,public,"run.zq,sra,bam","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",juvenile,SRX6847742,Illumina HiSeq 2500,not applicable,L4916,SINGLE,Reduced Representation,GENOMIC,L4916,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_438_L4916,not applicable,SRP220170,tail fin,,
SRR10117932,RAD-Seq,assembly,173,13412203,PRJNA563695,SAMN12746934,Model organism or animal,8971279,RUTGERS,2017-06-04,public,"sra,bam,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",juvenile,SRX6847741,Illumina HiSeq 2500,not applicable,L4915,SINGLE,Reduced Representation,GENOMIC,L4915,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_437_L4915,not applicable,SRP220170,tail fin,,
SRR10117933,RAD-Seq,assembly,173,18507793,PRJNA563695,SAMN12746933,Model organism or animal,10686943,RUTGERS,2017-06-04,public,"run.zq,bam,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",juvenile,SRX6847740,Illumina HiSeq 2500,not applicable,L4914,SINGLE,Reduced Representation,GENOMIC,L4914,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_436_L4914,not applicable,SRP220170,tail fin,,
SRR10117934,RAD-Seq,assembly,173,16258673,PRJNA563695,SAMN12746932,Model organism or animal,9884903,RUTGERS,2017-06-04,public,"bam,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",juvenile,SRX6847739,Illumina HiSeq 2500,not applicable,L4913,SINGLE,Reduced Representation,GENOMIC,L4913,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_435_L4913,not applicable,SRP220170,tail fin,,
SRR10117935,RAD-Seq,assembly,173,22377138,PRJNA563695,SAMN12746931,Model organism or animal,12008303,RUTGERS,2017-06-04,public,"bam,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",juvenile,SRX6847738,Illumina HiSeq 2500,not applicable,L4912,SINGLE,Reduced Representation,GENOMIC,L4912,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_433_L4912,not applicable,SRP220170,tail fin,,
SRR10117936,RAD-Seq,assembly,173,34640418,PRJNA563695,SAMN12746930,Model organism or animal,16057845,RUTGERS,2017-06-04,public,"run.zq,bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX6847737,Illumina HiSeq 2500,not applicable,L4911,SINGLE,Reduced Representation,GENOMIC,L4911,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_432_L4911,male,SRP220170,tail fin,,
SRR10117937,RAD-Seq,assembly,173,43651517,PRJNA563695,SAMN12746874,Model organism or animal,14450783,RUTGERS,2017-05-25,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",juvenile,SRX6847736,Illumina HiSeq 2500,not applicable,L4446,SINGLE,Reduced Representation,GENOMIC,L4446,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_222_L4446,not applicable,SRP220170,tail fin,,
SRR10117938,RAD-Seq,assembly,173,17922844,PRJNA563695,SAMN12746929,Model organism or animal,10557592,RUTGERS,2017-06-04,public,"bam,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847735,Illumina HiSeq 2500,not applicable,L4910,SINGLE,Reduced Representation,GENOMIC,L4910,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_431_L4910,female,SRP220170,tail fin,,
SRR10117939,RAD-Seq,assembly,173,18774103,PRJNA563695,SAMN12746928,Model organism or animal,10757729,RUTGERS,2017-06-04,public,"run.zq,bam,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",adult,SRX6847734,Illumina HiSeq 2500,not applicable,L4908,SINGLE,Reduced Representation,GENOMIC,L4908,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_429_L4908,male,SRP220170,tail fin,,
SRR10117940,RAD-Seq,assembly,173,25772359,PRJNA563695,SAMN12746927,Model organism or animal,13089599,RUTGERS,2017-06-04,public,"sra,run.zq,bam","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX6847733,Illumina HiSeq 2500,not applicable,L4907,SINGLE,Reduced Representation,GENOMIC,L4907,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_428_L4907,female,SRP220170,tail fin,,
SRR10117941,RAD-Seq,assembly,173,24336185,PRJNA563695,SAMN12746926,Model organism or animal,12654507,RUTGERS,2017-06-04,public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",juvenile,SRX6847732,Illumina HiSeq 2500,not applicable,L4906,SINGLE,Reduced Representation,GENOMIC,L4906,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_427_L4906,not applicable,SRP220170,tail fin,,
SRR10117942,RAD-Seq,assembly,173,17263125,PRJNA563695,SAMN12746925,Model organism or animal,10267084,RUTGERS,2017-06-04,public,"sra,run.zq,bam","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847731,Illumina HiSeq 2500,not applicable,L4905,SINGLE,Reduced Representation,GENOMIC,L4905,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_426_L4905,male,SRP220170,tail fin,,
SRR10117943,RAD-Seq,assembly,173,23123883,PRJNA563695,SAMN12746924,Model organism or animal,12026990,RUTGERS,2017-06-04,public,"run.zq,bam,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",adult,SRX6847730,Illumina HiSeq 2500,not applicable,L4904,SINGLE,Reduced Representation,GENOMIC,L4904,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_425_L4904,male,SRP220170,tail fin,,
SRR10117944,RAD-Seq,assembly,173,26610047,PRJNA563695,SAMN12746923,Model organism or animal,13202333,RUTGERS,2017-06-04,public,"run.zq,sra,bam","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",juvenile,SRX6847729,Illumina HiSeq 2500,not applicable,L4902,SINGLE,Reduced Representation,GENOMIC,L4902,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_423_L4902,not applicable,SRP220170,tail fin,,
SRR10117945,RAD-Seq,assembly,173,23346242,PRJNA563695,SAMN12746922,Model organism or animal,12299675,RUTGERS,2017-06-04,public,"bam,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",juvenile,SRX6847728,Illumina HiSeq 2500,not applicable,L4901,SINGLE,Reduced Representation,GENOMIC,L4901,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_422_L4901,not applicable,SRP220170,tail fin,,
SRR10117946,RAD-Seq,assembly,173,27697630,PRJNA563695,SAMN12746921,Model organism or animal,13825821,RUTGERS,2017-06-04,public,"sra,run.zq,bam","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847727,Illumina HiSeq 2500,not applicable,L4899,SINGLE,Reduced Representation,GENOMIC,L4899,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_420_L4899,female,SRP220170,tail fin,,
SRR10117947,RAD-Seq,assembly,173,21803641,PRJNA563695,SAMN12746920,Model organism or animal,11827168,RUTGERS,2017-06-04,public,"run.zq,sra,bam","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",juvenile,SRX6847726,Illumina HiSeq 2500,not applicable,L4898,SINGLE,Reduced Representation,GENOMIC,L4898,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_419_L4898,not applicable,SRP220170,tail fin,,
SRR10117948,RAD-Seq,assembly,173,57799669,PRJNA563695,SAMN12746873,Model organism or animal,17842012,RUTGERS,2017-05-25,public,"bam,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847725,Illumina HiSeq 2500,not applicable,L4445,SINGLE,Reduced Representation,GENOMIC,L4445,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_221_L4445,male,SRP220170,tail fin,,
SRR10117949,RAD-Seq,assembly,173,32842652,PRJNA563695,SAMN12746919,Model organism or animal,15362649,RUTGERS,2017-06-04,public,"run.zq,sra,bam","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",adult,SRX6847724,Illumina HiSeq 2500,not applicable,L4897,SINGLE,Reduced Representation,GENOMIC,L4897,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:50:00Z,1,APCL17_418_L4897,male,SRP220170,tail fin,,
SRR10117950,RAD-Seq,assembly,173,24254435,PRJNA563695,SAMN12746918,Model organism or animal,12629438,RUTGERS,2017-06-04,public,"sra,run.zq,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",juvenile,SRX6847723,Illumina HiSeq 2500,not applicable,L4896,SINGLE,Reduced Representation,GENOMIC,L4896,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_416_L4896,not applicable,SRP220170,tail fin,,
SRR10117951,RAD-Seq,assembly,173,11286538,PRJNA563695,SAMN12746917,Model organism or animal,8233367,RUTGERS,2017-06-04,public,"bam,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",adult,SRX6847722,Illumina HiSeq 2500,not applicable,L4895,SINGLE,Reduced Representation,GENOMIC,L4895,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_415_L4895,male,SRP220170,tail fin,,
SRR10117952,RAD-Seq,assembly,173,7607834,PRJNA563695,SAMN12746916,Model organism or animal,6917785,RUTGERS,2017-06-04,public,"bam,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",adult,SRX6847721,Illumina HiSeq 2500,not applicable,L4894,SINGLE,Reduced Representation,GENOMIC,L4894,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_414_L4894,female,SRP220170,tail fin,,
SRR10117953,RAD-Seq,assembly,173,16925384,PRJNA563695,SAMN12746915,Model organism or animal,10183767,RUTGERS,2017-06-04,public,"sra,run.zq,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",adult,SRX6847720,Illumina HiSeq 2500,not applicable,L4893,SINGLE,Reduced Representation,GENOMIC,L4893,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_413_L4893,female,SRP220170,tail fin,,
SRR10117954,RAD-Seq,assembly,173,21074534,PRJNA563695,SAMN12746914,Model organism or animal,11516300,RUTGERS,2017-06-04,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",adult,SRX6847719,Illumina HiSeq 2500,not applicable,L4892,SINGLE,Reduced Representation,GENOMIC,L4892,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_412_L4892,male,SRP220170,tail fin,,
SRR10117955,RAD-Seq,assembly,173,33943661,PRJNA563695,SAMN12746913,Model organism or animal,15855604,RUTGERS,2017-06-04,public,"bam,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",juvenile,SRX6847718,Illumina HiSeq 2500,not applicable,L4891,SINGLE,Reduced Representation,GENOMIC,L4891,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_411_L4891,not applicable,SRP220170,tail fin,,
SRR10117956,RAD-Seq,assembly,173,22732078,PRJNA563695,SAMN12746912,Model organism or animal,11990180,RUTGERS,2017-06-04,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",juvenile,SRX6847717,Illumina HiSeq 2500,not applicable,L4890,SINGLE,Reduced Representation,GENOMIC,L4890,Amphiprion clarkii,ILLUMINA,2019-10-04T00:00:00Z,2019-10-04T11:51:00Z,1,APCL17_409_L4890,not applicable,SRP220170,tail fin,,
